form,ingr,month,revenue
Tablets,Glucosamine|Chondroitine,may,2.146757
Capsules,Glucosamine|Chondroitine,may,3.3956633700000003
Powder,Glucosamine|Chondroitine,may,0.150826
Other,Glucosamine|Chondroitine,may,0.027138
Gummy,MSM,may,0.0
Softgels,MSM,may,0.0
Tablets,MSM,may,1.378489
Capsules,MSM,may,2.458604
Powder,MSM,may,1.125841
Other,MSM,may,0.029124
Gummy,Fish_Oil,may,2.5879763799999997
Softgels,Fish_Oil,may,9.79319
Tablets,Fish_Oil,may,0.016683
Capsules,Fish_Oil,may,0.930233
Powder,Fish_Oil,may,0.064539
Other,Fish_Oil,may,0.038431
Gummy,Krill_Oil,may,0.0
Softgels,Krill_Oil,may,1.352926
Tablets,Krill_Oil,may,0.0
Capsules,Krill_Oil,may,0.343956
Powder,Krill_Oil,may,0.0
Other,Krill_Oil,may,0.0
Gummy,Flaxseed,may,0.147275
Softgels,Flaxseed,may,0.432628
Tablets,Flaxseed,may,0.007363
Capsules,Flaxseed,may,0.920682
Powder,Flaxseed,may,0.24266
Other,Flaxseed,may,0.000895
Gummy,Psyllium,may,0.0
Softgels,Psyllium,may,0.0
Tablets,Psyllium,may,0.0
Capsules,Psyllium,may,2.647691
Powder,Psyllium,may,2.110457
Other,Psyllium,may,0.045915
Gummy,Chromium,may,0.0
Softgels,Chromium,may,0.02877
Tablets,Chromium,may,0.89404285
Capsules,Chromium,may,1.455033
Powder,Chromium,may,0.249629
Other,Chromium,may,0.021435
Gummy,Dandelion,may,0.0
Softgels,Dandelion,may,0.006117
Tablets,Dandelion,may,0.320306
Capsules,Dandelion,may,2.0333870396825398
Powder,Dandelion,may,0.262554
Other,Dandelion,may,0.008356
Gummy,Cranberry,may,0.681159
Softgels,Cranberry,may,0.33387
Tablets,Cranberry,may,0.696588
Capsules,Cranberry,may,2.747504
Powder,Cranberry,may,0.318522
Other,Cranberry,may,0.008775
Gummy,Oregano,may,0.0
Softgels,Oregano,may,0.362004
Tablets,Oregano,may,0.0
Capsules,Oregano,may,0.247926
Powder,Oregano,may,0.0
Other,Oregano,may,0.0208
Gummy,Rhodiola_Rosea,may,0.0
Softgels,Rhodiola_Rosea,may,0.004278
Tablets,Rhodiola_Rosea,may,0.320306
Capsules,Rhodiola_Rosea,may,0.901501
Powder,Rhodiola_Rosea,may,0.0
Other,Rhodiola_Rosea,may,0.023462
Gummy,Beetroot,may,2.61194
Softgels,Beetroot,may,0.0
Tablets,Beetroot,may,0.001658
Capsules,Beetroot,may,0.357528
Powder,Beetroot,may,0.288834
Other,Beetroot,may,0.0
Gummy,Zeaxanthin,may,0.049175
Softgels,Zeaxanthin,may,2.57549047
Tablets,Zeaxanthin,may,0.280335
Capsules,Zeaxanthin,may,0.571994
Powder,Zeaxanthin,may,0.0
Other,Zeaxanthin,may,0.013022
Gummy,Astaxanthin,may,0.0
Softgels,Astaxanthin,may,1.523898
Tablets,Astaxanthin,may,0.001238
Capsules,Astaxanthin,may,0.551473
Powder,Astaxanthin,may,0.0
Other,Astaxanthin,may,0.0
Gummy,Bacopa,may,0.0
Softgels,Bacopa,may,0.0
Tablets,Bacopa,may,0.117957
Capsules,Bacopa,may,2.767746
Powder,Bacopa,may,0.15864
Other,Bacopa,may,0.014367
Gummy,Sodium,may,0.0
Softgels,Sodium,may,0.101576
Tablets,Sodium,may,0.456761
Capsules,Sodium,may,0.709057
Powder,Sodium,may,1.273495
Other,Sodium,may,0.0
Gummy,Capsimax,may,0.0
Softgels,Capsimax,may,0.0
Tablets,Capsimax,may,0.0
Capsules,Capsimax,may,0.740154
Powder,Capsimax,may,0.0
Other,Capsimax,may,0.0
Gummy,Glycine,may,0.0
Softgels,Glycine,may,0.115131
Tablets,Glycine,may,0.017446
Capsules,Glycine,may,0.315461
Powder,Glycine,may,0.0565
Other,Glycine,may,0.0
Gummy,Glandular,may,0.079649
Softgels,Glandular,may,0.0
Tablets,Glandular,may,0.457966
Capsules,Glandular,may,4.784111309682539
Powder,Glandular,may,1.0481754399999998
Other,Glandular,may,0.043907
Gummy,Taurine,may,0.0
Softgels,Taurine,may,0.0
Tablets,Taurine,may,0.204837
Capsules,Taurine,may,0.268328
Powder,Taurine,may,0.688617
Other,Taurine,may,0.010599
Gummy,Betaine,may,0.0
Softgels,Betaine,may,0.0
Tablets,Betaine,may,0.372991
Capsules,Betaine,may,0.405131
Powder,Betaine,may,0.044004
Other,Betaine,may,0.0
Gummy,Guarana,may,0.0
Softgels,Guarana,may,0.0
Tablets,Guarana,may,0.0
Capsules,Guarana,may,0.01144
Powder,Guarana,may,0.0
Other,Guarana,may,0.0
Gummy,Ceramides,may,0.0
Softgels,Ceramides,may,0.007271
Tablets,Ceramides,may,0.0
Capsules,Ceramides,may,0.051948
Powder,Ceramides,may,0.005788
Other,Ceramides,may,0.003705
Gummy,Boron,may,0.0
Softgels,Boron,may,0.115131
Tablets,Boron,may,0.473014
Capsules,Boron,may,0.700219
Powder,Boron,may,0.191461
Other,Boron,may,0.02022
Gummy,Boswellia,may,0.0
